,Código,Cod,Nome Comercial,Div. Yeld,P/VP
374,ENAT3,"""ENAT3"",",ENAUTA PART,"1,3%","1,19"
375,ENBR3,"""ENBR3"",",EDP ENERGIAS DO BRASIL S/A,"7,5%","1,11"
376,ENER3,"""ENER3"",",ENERSUL,"0,0%","0,00"
377,ENER5,"""ENER5"",",ENERSUL,"0,0%","0,00"
378,ENER6,"""ENER6"",",ENERSUL,"0,0%","0,00"
379,ENEV3,"""ENEV3"",",ENEVA,"0,0%","1,95"
380,ENGI11,"""ENGI11"",",ENERGISA,"9,1%","1,80"
381,ENGI3,"""ENGI3"",",ENERGISA,"5,6%","2,94"
382,ENGI4,"""ENGI4"",",ENERGISA,"10,9","1,51"
383,ENJU3,"""ENJU3"",",ENJOEI,"0,0%","1,31"
384,ENMT3,"""ENMT3"",",ENERGISA MT,"7,1%","6,11"
385,ENMT4,"""ENMT4"",",ENERGISA MT,"6,0%","6,42"
386,EPAR3,"""EPAR3"",",EMBPAR S/A,"0,0%","3,07"
387,EPAR4,"""EPAR4"",",EMBPAR S/A,"0,0%","0,68"
388,EQMA3B,"""EQMA3B"",",CEMAR,"11,3","2,14"
389,EQMA5B,"""EQMA5B"",",CEMAR,"0,0%","0,00"
390,EQMA6B,"""EQMA6B"",",CEMAR,"0,0%","0,00"
391,EQPA3,"""EQPA3"",",EQTL PARA,"5,5%","3,43"
392,EQPA5,"""EQPA5"",",EQTL PARA,"4,2%","4,47"
393,EQPA6,"""EQPA6"",",EQTL PARA,"2,9%","6,54"
394,EQPA7,"""EQPA7"",",EQTL PARA,"4,7%","4,05"
395,EQTL3,"""EQTL3"",",EQUATORIAL ENERGIA S.A.,"3,1%","1,94"
396,ESCE3,"""ESCE3"",",ESCELSA,"0,0%","0,80"
397,ESPA3,"""ESPA3"",",ESPACOLASER,"2,3%","2,19"
398,ESTC11,"""ESTC11"",",YDUQS PART,"0,0%","0,72"
399,ESTC4,"""ESTC4"",",YDUQS PART,"0,0%","0,00"
400,ESTR3,"""ESTR3"",",ESTRELA,"0,0%","-0,0"
401,ESTR4,"""ESTR4"",",ESTRELA,"0,0%","-0,1"
402,ETER3,"""ETER3"",",ETERNIT,"1,3%","2,09"
403,ETER4,"""ETER4"",",ETERNIT,"0,0%","1,12"
404,EUCA3,"""EUCA3"",",EUCATEX,"3,0%","0,75"
405,EUCA4,"""EUCA4"",",EUCATEX,"5,2%","0,47"
406,EVEN3,"""EVEN3"",",Even,"11,5","0,86"
407,EZTC3,"""EZTC3"",",EZTec,"2,1%","1,06"
408,FBMC3,"""FBMC3"",",FIBAM,"0,0%","-0,9"
409,FBMC4,"""FBMC4"",",FIBAM,"0,0%","-0,0"
410,FBRA4,"""FBRA4"",",FERTIBRÁS S/A,"0,0%","1,66"
411,FCAP3,"""FCAP3"",",FICAP,"0,0%","0,11"
412,FCAP4,"""FCAP4"",",FICAP,"0,0%","0,13"
413,FESA3,"""FESA3"",",FERBASA,"1,6%","2,02"
414,FESA4,"""FESA4"",",FERBASA,"1,9%","1,97"
415,FFTL3,"""FFTL3"",",FOSFERTIL,"0,0%","2,26"
416,FFTL4,"""FFTL4"",",FOSFERTIL,"0,0%","2,26"
417,FGUI3,"""FGUI3"",",FERREIRA GUIMARAES,"0,0%","-2,1"
418,FGUI4,"""FGUI4"",",FERREIRA GUIMARAES,"0,0%","-0,0"
419,FHER3,"""FHER3"",",Fer Heringer,"0,0%","9,11"
420,FIBR3,"""FIBR3"",",Fibria,"7,6%","2,59"
421,FIGE3,"""FIGE3"",",INVESTIMENTOS BEMGE,"0,0%","0,44"
422,FIGE4,"""FIGE4"",",INVESTIMENTOS BEMGE,"0,0%","0,39"
423,FIQE3,"""FIQE3"",",UNIFIQUE,"0,0%","2,46"
424,FLCL3,"""FLCL3"",",CATAG LEOPOLDINA,"0,0%","71,0"
425,FLCL5,"""FLCL5"",",CATAG LEOPOLDINA,"0,0%","77,2"
426,FLCL6,"""FLCL6"",",CATAG LEOPOLDINA,"0,0%","61,2"
427,FLRY3,"""FLRY3"",",FLEURY,"3,7%","3,42"
428,FRAS3,"""FRAS3"",",FRAS-LE S.A.,"2,5%","2,42"
429,FRAS4,"""FRAS4"",",FRAS-LE S.A.,"0,0%","1,15"
430,FRIO3,"""FRIO3"",",Metalfrio,"0,0%","-1,8"
431,FRTA3,"""FRTA3"",",POMIFRUTAS,"0,0%","-0,1"
432,FTRX3,"""FTRX3"",",FAB TECIDOS C RENAUX,"0,0%","-0,0"
433,FTRX4,"""FTRX4"",",FAB TECIDOS C RENAUX,"0,0%","-0,0"
434,GAFP3,"""GAFP3"",",CIMOB,"0,0%","-0,0"
