Código,Cod,Nome Comercial,Div. Yeld,P/VP
BRGE3,"""BRGE3"",",CONSORCIO ALFA,,
BRGE5,"""BRGE5"",",CONSORCIO ALFA,,
BRGE6,"""BRGE6"",",CONSORCIO ALFA,,
BRGE7,"""BRGE7"",",CONSORCIO ALFA,,
BRGE8,"""BRGE8"",",CONSORCIO ALFA,,
BRIT3,"""BRIT3"",",BRISANET,,
BRIV3,"""BRIV3"",",ALFA DE INVESTIMENTO,,
BRIV4,"""BRIV4"",",ALFA DE INVESTIMENTO,,
BRKM3,"""BRKM3"",",BRASKEM,,
BRKM5,"""BRKM5"",",BRASKEM,,
BRKM6,"""BRKM6"",",BRASKEM,,
BRML3,"""BRML3"",",BR MALLS PARTICIPAÇÔES S/A,,
BRPR3,"""BRPR3"",",BR PROPERTIES,,
BRSR3,"""BRSR3"",",BANRISUL S/A,,
BRSR4,"""BRSR4"",",BANRISUL S/A,,
BRSR5,"""BRSR5"",",BANRISUL S/A,,
BRSR6,"""BRSR6"",",BANRISUL S/A,,
BRTP3,"""BRTP3"",",BRASIL TELECOM PARTICIPAÇÕES S.A.,,
BRTP4,"""BRTP4"",",BRASIL TELECOM PARTICIPAÇÕES S.A.,,
BSCT3,"""BSCT3"",",BESC S.A.,,
BSCT5,"""BSCT5"",",BESC S.A.,,
BSCT6,"""BSCT6"",",BESC S.A.,,
BSEV3,"""BSEV3"",",BIOSEV,,
BSGR3,"""BSGR3"",",AGF BRASIL SEGUROS,,
BSLI3,"""BSLI3"",",BRB,,
BSLI4,"""BSLI4"",",BRB,,
BTTL3,"""BTTL3"",",EMBPAR S/A,,
BUET3,"""BUET3"",",BUETTNER S/A - INDUSTRIA E COMERCIO,,
BUET4,"""BUET4"",",BUETTNER S/A - INDUSTRIA E COMERCIO,,
CAFE3,"""CAFE3"",",CAFE SOLUVEL BRASILIA S/A,,
CAFE4,"""CAFE4"",",CAFE SOLUVEL BRASILIA S/A,,
CALI3,"""CALI3"",",CAL S/A,,
CALI4,"""CALI4"",",CAL S/A,,
CAMB3,"""CAMB3"",",PENALTY,,
CAMB4,"""CAMB4"",",PENALTY,,
CAML3,"""CAML3"",",CAMIL,,
CARD3,"""CARD3"",",CSU CARDSYST,,
CASH3,"""CASH3"",",MELIUZ,,
CASN3,"""CASN3"",",CASAN,,
CBAV3,"""CBAV3"",",CBA,,
CBEE3,"""CBEE3"",",AMPLA ENERG,,
CBMA3,"""CBMA3"",",COBRASMA S/A,,
CBMA4,"""CBMA4"",",COBRASMA S/A,,
CCHI3,"""CCHI3"",",CHIARELLI,,
CCHI4,"""CCHI4"",",CHIARELLI,,
CCIM3,"""CCIM3"",",CC DES IMOB,,
CCRO3,"""CCRO3"",",COMPANHIA DE CONCESSÕES RODOVIÁRIAS,,
CCTU4,"""CCTU4"",",COMPANHIA BRASILEIRA DE CARTUCHOS - CBC,,
CCXC3,"""CCXC3"",",CCX CARVAO,,
CEAB3,"""CEAB3"",",CEA MODAS,,
CEBR3,"""CEBR3"",",CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,,
CEBR5,"""CEBR5"",",CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,,
CEBR6,"""CEBR6"",",CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,,
CEDO3,"""CEDO3"",",CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,,
CEDO4,"""CEDO4"",",CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,,
CEEB3,"""CEEB3"",",COELBA,,
CEEB5,"""CEEB5"",",COELBA,,
CEED3,"""CEED3"",",CEEE-D,,
CEED4,"""CEED4"",",CEEE-D,,
CEGR3,"""CEGR3"",",CEG,,
CELM3,"""CELM3"",",CELM CIA EQUIP. DE LABORATORIOS MODERNOS,,
CEPE3,"""CEPE3"",",CELPE,,
CEPE5,"""CEPE5"",",CELPE,,
CEPE6,"""CEPE6"",",CELPE,,
CESP3,"""CESP3"",",CESP CIA ENERGETICA SAO PAULO,,
CESP4,"""CESP4"",",CESP CIA ENERGETICA SAO PAULO,,
CESP5,"""CESP5"",",CESP CIA ENERGETICA SAO PAULO,,
CESP6,"""CESP6"",",CESP CIA ENERGETICA SAO PAULO,,
CFLU4,"""CFLU4"",",COCA COLA,,
CGAS3,"""CGAS3"",",COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,,
CGAS5,"""CGAS5"",",COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,,
CGOS3,"""CGOS3"",",CELG,,
CGOS4,"""CGOS4"",",CELG,,
CGRA3,"""CGRA3"",",GRAZZIOTIN,,
CGRA4,"""CGRA4"",",GRAZZIOTIN,,
CIEL3,"""CIEL3"",",CIELO,,
CIQU3,"""CIQU3"",",CACIQUE,,
CIQU4,"""CIQU4"",",CACIQUE,,
CLAN3,"""CLAN3"",",CLARION,,
CLAN4,"""CLAN4"",",CLARION,,
CLSA3,"""CLSA3"",",CLEARSALE,,
CLSC3,"""CLSC3"",",CELESC,,
CLSC4,"""CLSC4"",",CELESC,,
CLSC5,"""CLSC5"",",CELESC,,
CLSC6,"""CLSC6"",",CELESC,,
CMET4,"""CMET4"",",CAEMI,,
CMIG3,"""CMIG3"",",CEMIG,,
CMIG4,"""CMIG4"",",CEMIG,,
CMIN3,"""CMIN3"",",CSNMINERACAO,,
CMMA4,"""CMMA4"",",CMA PARTICIPACOES SA,,
